School,Room,Tag#,Type,Brand,Model Number,Serial Number,PO#,Vendor,Price,Funds,Purchase Date,Disposal Date
District Office,Technology,50636,Projector,Epson,PowerLite 97H,VTFF660202L,215950,CDW-G,450,General Purpose,11/2/2016,0000-00-00
District Office,Technology,50641,Projector,Epson,PowerLite 97H,VTFF660198L,215950,CDW-G,450,General Purpose,11/2/2016,0000-00-00
District Office,Technology,48853,Computer,HP,dc7900,2UA9490L07,,VIG,,,,0000-00-00
District Office,Technology,467318,Computer,HP,dc7900,2UA9090QLM,208680,CDI,208,General Purpose,1/18/2013,0000-00-00
District Office,Technology,50932,PRINTER,Brother,,U63079C5N945903,,,,,,0000-00-00
District Office,Technology,52845,Cart,Anywhere Cart,AC-MINI-12,AC-MINI-9962,95429,Central Technologies INC,489,Reopening and Programmatic Supports Grant,9/18/2020,0000-00-00
District Office,Technology,51467,Desktop,Dell,Optiplex 7010,9GJ7P22,221175,System Liquidation ,123,General Purpose,10/11/2019,0000-00-00
District Office,Technology,52529,Desktop,Dell,Optiplex 7010,56WVM22,16485,System Liquidation ,219,Food Service,7/1/2020,0000-00-00
District Office,Technology,51172,Printer,Brother,HL-L51000dn,U64219E7N66499,217126,Central Knox,181.5,General Purpose,7/18/2017,0000-00-00
District Office,Technology,51129,Projector,Epson,PowerLite 97H,VTFK7100489,216950,CDW-G,450,General Purpose,3/1/2017,0000-00-00
District Office,Technology,43549,Projector,Epson,PowerLite 97H,VTFK7303175,217025,Central Knox,455,General Purpose,7/5/2017,0000-00-00
District Office,Technology,43550,Projector,Epson,PowerLite 97H,VTFK7101037,217025,Central Knox,455,General Purpose,7/5/2017,0000-00-00
District Office,Technology,51184,Printer,Brother,HL-L5100DN,U64219E7N664948,217126,"Central Knox, Inc.",181.5,General Purpose,7/18/2017,0000-00-00
District Office,Technology,51231,Projector,Epson,Power lite 97H,VTF7300307,217025,Central Knoa,455,General Purpose,7/3/2017,0000-00-00
District Office,Technology,57735,Printer,Brother,HL-L8260CDW,U64641F2F495527,225963,"Gov Connection, Inc.",385.16,General Purpose,1/6/2023,0000-00-00
District Office,Technology,57900,Computer,HP,ProDesk 400 G7 SFF,MXL1391PYK,226369,System Liquidation,363,General Purpose,6/2/2023,0000-00-00
District Office,Technology,57939,Printer,Brother,HL-L5100DN,U64219H2N758413,225963,"GovConnection, Inc.",269.73,General Purpose,1/6/2023,0000-00-00
District Office,Technology,58478,Printer,Brother,HL-L8260CDW,HL-L8260CDW,96472,"Gov Connection, Inc.",377.16,,10/4/2023,0000-00-00
District Office,Technology,58495,Monitor,ELO,ET1915L-7CWA-1-G,G235077884,17904,"GovConnection, Inc.",746.6,Food Service,9/6/2023,0000-00-00
District Office,Technology,58487,Camera Server,Avigilon,NVR5-STD-24TB-S19,675C1V3,96347,"Central Technologies, Inc",13420,School Violence Prevention Grant,5/11/2023,0000-00-00
District Office,Technology,58496,Printer,Brother,HL-L5100DN,U64219H2N758408,225963,"GovConnection, Inc.",269.73,General Purpose,1/6/2023,0000-00-00
District Office,Technology,57779,Smartboard,Newline,TT-7521Q,DEIC1G6MC80948,96196,All Covered Konica Minolta,3030,ESSER 3.0,11/29/2022,0000-00-00
District Office,Technology,57782,Smartboard,Newline,TT-7521Q,DEIC1G6MC80949,96196,All Covered Konica Minolta,3030,ESSER 3.0,11/29/2022,0000-00-00
District Office,Technology,57785,Smartboard,Newline,TT-7521Q,DEIC1G6MC80955,96196,All Covered Konica Minolta,3030,ESSER 3.0,11/29/2022,0000-00-00
District Office,Technology,57788,Smartboard,Newline,TT-7521Q,DEIC1G6MC80954,96196,All Covered Konica Minolta,3430,ESSER 3.0,11/29/2022,0000-00-00
District Office,Technology,58655,Smartboard,Newline,TT-7521Q,deiasczmdb2644,96563,All Covered Konica Minolta,3030,ESSER 3.0,1/23/2024,0000-00-00
District Office,Technology,59477,Laptop,Lenovo,82VL,PW097CSL,96541,"Unistar-Sparco Computers, Inc",545.96,ESSER 3.0,12/8/2023,0000-00-00
District Office,Technology,59478,Laptop,Lenovo,82VL,PW097CZ9,96541,"Unistar-Sparco Computers, Inc",545.96,ESSER 3.0,12/8/2023,0000-00-00
District Office,Technology,51303,Printer,Brother,HL-L5100dn,U64219E7N665010,217126,Central Knox,181.5,General Purpose,7/3/2017,0000-00-00
District Office,Technology,51313,Printer,Lexmark,MS810dn,40637C6602L5C,217126,Central Knox,768,General Purpose,7/3/2017,0000-00-00
District Office,Technology,51378,Printer,Brother,HL-L5100DN,U64219L6N478716,217126,"Central Technologies, Inc",181.5,General Purpose,7/18/2017,0000-00-00
District Office,Technology,51658,Printer,Brother,HL-L5100DN,U64219E7N666495,217126,Central Knox,181.5,General Purpose,7/18/2017,0000-00-00
District Office,Technology,51385,Monitor,Acer,R240HY,MMT4BAA00182605C2B2411,219166,Amazon,109.99,General Purpose,8/24/2018,0000-00-00
District Office,Technology,52036,Printer,Brother,HL-5100DN,U64219A8N893839,218458,Central Technologies Inc,181.5,General Purpose,4/16/2018,0000-00-00
District Office,Technology,51409,Printer,Brother,HL-L5100DN,U64219C9N459104,220764,"Central Technologies, Inc.",199,General Purpose,8/7/2019,0000-00-00
